type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,6112,5978,5593,385,519,0.9150850785340314,0.9355971896955504,ARD_WGS_2023_1.strelkaVSBGI_T7_WGS_2023_1.strelka_HCR,0.9252274607113317,0.9253411341147909
SNVs,58682,58646,57606,1040,1076,0.9816638833032276,0.9822664802373564,ARD_WGS_2023_1.strelkaVSBGI_T7_WGS_2023_1.strelka_HCR,0.981965089322242,0.9819651817702919
records,64794,64624,63199,1425,1595,0.9753835231657252,0.9779493686556078,ARD_WGS_2023_1.strelkaVSBGI_T7_WGS_2023_1.strelka_HCR,0.9766647606978937,0.9766664459106664
indels,5978,5295,5115,180,863,0.8556373369019739,0.9660056657223796,BGI_T7_WGS_2023_1.strelkaVSWGS_WUX_2023_1.strelka_HCR,0.9074780448860107,0.9108215013121768
SNVs,58646,58458,57627,831,1019,0.9826245609248712,0.9857846659139896,BGI_T7_WGS_2023_1.strelkaVSWGS_WUX_2023_1.strelka_HCR,0.9842020767864461,0.9842046134194304
records,64624,63753,62742,1011,1882,0.9708776924981432,0.984141922733048,BGI_T7_WGS_2023_1.strelkaVSWGS_WUX_2023_1.strelka_HCR,0.9774648106748094,0.9775098076155955
indels,5652,5758,5198,560,454,0.9196744515215852,0.9027440083362278,BGI_T10_WGS_2023_2.strelkaVSNVG_WGS_2023_1.strelka_HCR,0.9111305872042067,0.9112092299289065
SNVs,58631,58176,56955,1221,1676,0.9714144394603538,0.9790119636963696,BGI_T10_WGS_2023_2.strelkaVSNVG_WGS_2023_1.strelka_HCR,0.9751984042052274,0.9752132015783617
records,64283,63934,62153,1781,2130,0.966865267644634,0.9721431476209842,BGI_T10_WGS_2023_2.strelkaVSNVG_WGS_2023_1.strelka_HCR,0.9694970245755243,0.9695042076328091
indels,5758,6137,5450,687,308,0.9465092045849252,0.8880560534463092,NVG_WGS_2023_1.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9163514081546867,0.9172826290156173
SNVs,58176,58152,56775,1377,1401,0.975917904290429,0.976320676846884,NVG_WGS_2023_1.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9761192490200123,0.9761192905686565
records,63934,64289,62225,2064,1709,0.9732693089748804,0.9678949742568712,NVG_WGS_2023_1.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.970574701886557,0.9705821416158759
indels,5371,5755,5060,695,311,0.9420964438652021,0.8792354474370113,WGS_WUX_2023_3.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9095811612439332,0.9106659456511066
SNVs,58599,59025,57728,1297,871,0.9851362651239782,0.9780262600592968,WGS_WUX_2023_3.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.981568387403931,0.9815812625916376
records,63970,64780,62788,1992,1182,0.9815225887134594,0.9692497684470516,WGS_WUX_2023_3.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.975347572815534,0.9753861785802556
indels,5685,5755,5430,325,255,0.9551451187335092,0.943527367506516,BGI_T20_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9493006993006993,0.9493362431200127
SNVs,58738,59025,58145,880,593,0.9899043208825632,0.9850910631088522,BGI_T20_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.987491826804684,0.9874976919957077
records,64423,64780,63575,1205,848,0.9868369992083572,0.9813985798085828,BGI_T20_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9841102760771807,0.9841177895084701
indels,5652,5371,5015,356,637,0.8872965322009908,0.9337181158071124,BGI_T10_WGS_2023_2.strelkaVSWGS_WUX_2023_3.strelka_HCR,0.9099156309534611,0.9105073240040515
SNVs,58631,58599,57679,920,952,0.9837628558271222,0.9843000733800918,BGI_T10_WGS_2023_2.strelkaVSWGS_WUX_2023_3.strelka_HCR,0.984031391282095,0.984031464603607
records,64283,63970,62694,1276,1589,0.9752811785386494,0.980053149914022,BGI_T10_WGS_2023_2.strelkaVSWGS_WUX_2023_3.strelka_HCR,0.9776613412551752,0.9776671642263357
indels,5600,5755,5339,416,261,0.9533928571428572,0.9277150304083406,BGI_T10_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9403786878027302,0.9405539437755989
SNVs,58302,59025,57643,1382,659,0.9886967857020342,0.976586192291402,BGI_T10_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9826041746571549,0.9826414889967181
records,63902,64780,62982,1798,920,0.9856029545241152,0.9722445199135537,BGI_T10_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9788781647782908,0.9789237372188343
indels,5692,5331,5033,298,659,0.8842234715390022,0.9441005439879948,BGI_T20_WGS_2023_2.strelkaVSWGS_WUX_2023_2.strelka_HCR,0.9131815295291664,0.9141620077634984
SNVs,58911,58452,57634,818,1277,0.9783232333520056,0.9860056114418668,BGI_T20_WGS_2023_2.strelkaVSWGS_WUX_2023_2.strelka_HCR,0.9821493997256376,0.9821644223969361
records,64603,63783,62667,1116,1936,0.9700323514387876,0.9825031748271484,BGI_T20_WGS_2023_2.strelkaVSWGS_WUX_2023_2.strelka_HCR,0.9762279376255978,0.9762677631329679
indels,5331,6137,5166,971,165,0.9690489589195272,0.8417793710281897,WGS_WUX_2023_2.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9009417509591907,0.9054141649738585
SNVs,58452,58152,57376,776,1076,0.9815917333880791,0.9866556610262759,WGS_WUX_2023_2.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9841171829439813,0.9841236972071776
records,63783,64289,62542,1747,1241,0.9805434049825188,0.9728258333462956,WGS_WUX_2023_2.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9766693734774189,0.9766846191644073
indels,5978,5692,5434,258,544,0.9089996654399464,0.9546732255797612,BGI_T7_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_2.strelka_HCR,0.9312767780634105,0.9318364455098538
SNVs,58646,58911,57954,957,692,0.9882003887733178,0.9837551560829048,BGI_T7_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_2.strelka_HCR,0.9859727621494253,0.9859777724281114
records,64624,64603,63388,1215,1236,0.9808739787076008,0.9811928238626688,BGI_T7_WGS_2023_1.strelkaVSBGI_T20_WGS_2023_2.strelka_HCR,0.9810333753782103,0.9810334012851349
indels,6112,5600,5329,271,783,0.8718913612565445,0.9516071428571428,ARD_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9100068306010929,0.9117492520568438
SNVs,58682,58302,57120,1182,1562,0.9733819569885144,0.9797262529587322,ARD_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9765438008616563,0.9765541049736233
records,64794,63902,62449,1453,2345,0.9638083773188876,0.9772620575255859,ARD_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9704885932740722,0.9705352174222368
indels,5978,5600,5362,238,616,0.8969555035128806,0.9575,BGI_T7_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9262394195888756,0.9272277517564402
SNVs,58646,58302,57527,775,1119,0.9809194147938478,0.9867071455524682,BGI_T7_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9838047679310462,0.9838132801731581
records,64624,63902,62889,1013,1735,0.9731523892052488,0.9841476010140529,BGI_T7_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9786191120862705,0.9786499951096508
indels,5652,6137,5487,650,165,0.9708067940552016,0.894085057845853,BGI_T10_WGS_2023_2.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9308677580795657,0.9324459259505273
SNVs,58631,58152,57538,614,1093,0.9813579846838704,0.989441463750172,BGI_T10_WGS_2023_2.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9853831465196133,0.9853997242170212
records,64283,64289,63025,1264,1258,0.9804302848342484,0.9803387826844404,BGI_T10_WGS_2023_2.strelkaVSWGE_WGS_2023_1.strelka_HCR,0.9803845316243037,0.9803845337593445
indels,5685,5600,5310,290,375,0.934036939313984,0.9482142857142856,BGI_T20_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9410722197607443,0.941125612514135
SNVs,58738,58302,57580,722,1158,0.9802853348769109,0.9876162052759768,BGI_T20_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9839371155160629,0.9839507700764439
records,64423,63902,62890,1012,1533,0.9762041506915232,0.9841632499765266,BGI_T20_WGS_2023_1.strelkaVSBGI_T10_WGS_2023_1.strelka_HCR,0.9801675433469705,0.9801837003340249
indels,5685,5978,5455,523,230,0.9595426561125768,0.9125125460020074,BGI_T20_WGS_2023_1.strelkaVSBGI_T7_WGS_2023_1.strelka_HCR,0.9354368515819257,0.9360276010572921
SNVs,58738,58646,57902,744,836,0.9857673056624332,0.9873137127851856,BGI_T20_WGS_2023_1.strelkaVSBGI_T7_WGS_2023_1.strelka_HCR,0.986539903223608,0.9865405092238094
records,64423,64624,63357,1267,1066,0.9834531145708829,0.980394280762565,BGI_T20_WGS_2023_1.strelkaVSBGI_T7_WGS_2023_1.strelka_HCR,0.9819213154897052,0.981923697666724
indels,5676,5331,4978,353,698,0.8770260747004933,0.933783530294504,BGI_T10_WGS_2023_3.strelkaVSWGS_WUX_2023_2.strelka_HCR,0.9045153084400837,0.9054048024974986
SNVs,57983,58452,56892,1560,1091,0.9811841401790179,0.9733114350236092,BGI_T10_WGS_2023_3.strelkaVSWGS_WUX_2023_2.strelka_HCR,0.9772319319792159,0.9772477876013135
records,63659,63783,61870,1913,1789,0.9718971394461112,0.970007682297791,BGI_T10_WGS_2023_3.strelkaVSWGS_WUX_2023_2.strelka_HCR,0.9709514916589507,0.9709524108719512
indels,5692,5755,5437,318,255,0.9552002810962756,0.9447437011294526,BGI_T20_WGS_2023_2.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9499432165632917,0.9499719911128641
SNVs,58911,59025,58232,793,679,0.9884741389553734,0.9865650148242271,BGI_T20_WGS_2023_2.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9875186541853209,0.9875195768898002
records,64603,64780,63669,1111,934,0.9855424670680928,0.9828496449521458,BGI_T20_WGS_2023_2.strelkaVSBGI_T20_WGS_2023_3.strelka_HCR,0.9841942140775837,0.9841960560101193
indels,5600,5295,4906,389,694,0.8760714285714286,0.9265344664778092,BGI_T10_WGS_2023_1.strelkaVSWGS_WUX_2023_1.strelka_HCR,0.9005966039467646,0.9013029475246189
SNVs,58302,58458,57272,1186,1030,0.9823333676374738,0.9797119299326013,BGI_T10_WGS_2023_1.strelkaVSWGS_WUX_2023_1.strelka_HCR,0.9810208975676602,0.9810226487850375
records,63902,63753,62178,1575,1724,0.9730211886951896,0.9752952802221072,BGI_T10_WGS_2023_1.strelkaVSWGS_WUX_2023_1.strelka_HCR,0.9741569072891779,0.9741582344586484
indels,5676,5371,4990,381,686,0.8791402396053559,0.9290634891081736,BGI_T10_WGS_2023_3.strelkaVSWGS_WUX_2023_3.strelka_HCR,0.9034126912283879,0.9041018643567647
